number,d,D,B,C,C0,f0,p
6000,10.0,26.0,8.0,4750.0,1960.0,12,3
6001,12.0,28.0,8.0,5070.0,2360.0,12,3
6002,15.0,32.0,9.0,5590.0,2800.0,12.5,3
6003,17.0,35.0,10.0,6000.0,3150.0,13,3
6004,20.0,42.0,12.0,9360.0,5000.0,13.5,3
6005,25.0,47.0,12.0,10100.0,5850.0,15,3
6006,30.0,55.0,13.0,13300.0,8150.0,14.5,3
6007,35.0,62.0,14.0,16000.0,10200.0,14.5,3
6008,40.0,68.0,15.0,17000.0,11400.0,14.5,3
6009,45.0,75.0,16.0,21600.0,14600.0,15,3
6010,50.0,80.0,16.0,22500.0,16000.0,15,3
6011,55.0,90.0,18.0,30700.0,21600.0,15.5,3
6012,60.0,95.0,18.0,31900.0,23200.0,15.5,3
6200,10.0,30.0,9.0,5100.0,2360.0,13,3
6201,12.0,32.0,10.0,6890.0,3000.0,13,3
6202,15.0,35.0,11.0,7650.0,3600.0,13.5,3
6203,17.0,40.0,12.0,9560.0,4750.0,13.5,3
6204,20.0,47.0,14.0,12800.0,6550.0,14,3
6205,25.0,52.0,15.0,14000.0,7800.0,14.5,3
6206,30.0,62.0,16.0,19500.0,11200.0,14.5,3
6207,35.0,72.0,17.0,25700.0,15300.0,14.5,3
6208,40.0,80.0,18.0,29600.0,17600.0,15,3
6209,45.0,85.0,19.0,33200.0,20400.0,15,3
6210,50.0,90.0,20.0,35100.0,21600.0,15,3
6211,55.0,100.0,21.0,43600.0,27500.0,15,3
6212,60.0,110.0,22.0,52700.0,32500.0,15,3
6213,65.0,120.0,23.0,57200.0,36500.0,15,3
6214,70.0,125.0,24.0,60500.0,38000.0,15,3
6215,75.0,130.0,25.0,66300.0,43000.0,15,3
6216,80.0,140.0,26.0,72800.0,45500.0,15,3
6217,85.0,150.0,28.0,83200.0,53000.0,15.5,3
6218,90.0,160.0,30.0,95600.0,62000.0,15.5,3
6219,95.0,170.0,32.0,108000.0,71500.0,15.5,3
6220,100.0,180.0,34.0,124000.0,85000.0,16,3
6300,10.0,35.0,11.0,8060.0,3400.0,13.5,3
6301,12.0,37.0,12.0,9750.0,4150.0,13.5,3
6302,15.0,42.0,13.0,11900.0,5400.0,14,3
6303,17.0,47.0,14.0,14300.0,6550.0,14,3
6304,20.0,52.0,15.0,15900.0,7800.0,14.5,3
6305,25.0,62.0,17.0,22500.0,11200.0,15,3
6306,30.0,72.0,19.0,28100.0,15000.0,15,3
6307,35.0,80.0,21.0,33400.0,18000.0,15,3
6308,40.0,90.0,23.0,41000.0,22400.0,15.5,3
6309,45.0,100.0,25.0,52700.0,30000.0,15.5,3
6310,50.0,110.0,27.0,61800.0,36000.0,15.5,3
6311,55.0,120.0,29.0,71500.0,41500.0,16,3
6312,60.0,130.0,31.0,81900.0,48000.0,16,3
6313,65.0,140.0,33.0,93500.0,56000.0,16,3
6314,70.0,150.0,35.0,104000.0,63000.0,16,3
6315,75.0,160.0,37.0,114000.0,72000.0,16,3
6316,80.0,170.0,39.0,124000.0,80000.0,16.5,3
6317,85.0,180.0,41.0,133000.0,90000.0,16.5,3
6318,90.0,190.0,43.0,145000.0,100000.0,16.5,3
6319,95.0,200.0,45.0,153000.0,110000.0,17,3
6320,100.0,215.0,47.0,174000.0,132000.0,17,3
